Open,High,Low,Close
115.190002,115.389999,112.849998,113.18
116.040001,116.940002,115.510002,116.169998
117.639999,117.690002,115.080002,115.620003
117.519997,118.599998,116.860001,118.230003
118.980003,119.860001,117.809998,118.279999
115.290001,119.25,115.110001,119.029999
116.550003,116.790001,114.220001,115.199997
117.339996,118.110001,116.080002,116.279999
118.75,118.809998,116.860001,117.339996
117.989998,119.410004,117.75,118.300003
118.290001,118.410004,117.599998,117.809998
119.209999,119.230003,117.919998,118.029999
117.330002,119.349998,117.120003,118.879997
119.269997,119.730003,117.339996,117.75
119.199997,119.919998,118.849998,119.300003
117.639999,119.75,116.760002,118.779999
115.760002,117.489998,115.5,117.290001
114.919998,115.050003,113.32,113.690002
111.379997,114.239998,111,114.18
115.199997,115.57,112.269997,112.339996
116.260002,116.82,115.650002,115.720001
116.370003,117.419998,115.209999,116.110001
116.900002,118.07,116.059998,116.769997
120.959999,121.809998,120.050003,120.57
121.110001,121.809998,120.620003,121.059998
121.849998,122.690002,120.18,120.919998
123.129997,123.82,121.620003,122
120.790001,123.489998,120.699997,122.57
120.800003,121.360001,119.610001,121.18
120.989998,121.220001,119.449997,119.5
118.699997,120.690002,118.269997,120.529999
116.93,119.300003,116.059998,119.269997
115.400002,116.540001,113.989998,114.550003
118.080002,118.129997,114.919998,115.279999
116.699997,119.230003,116.330002,119.080002
114.330002,115.5,114.099998,115.5
114,115.580002,113.699997,113.760002
111.339996,114.169998,110.82,113.769997
110.800003,111.75,110.110001,111.730003
111.779999,112,110.529999,111.040001
110.93,112.099998,110.489998,111.860001
111.290001,111.519997,109.559998,110.209999
110.82,112.449997,110.68,111.790001
112.730003,112.75,111.440002,111.599998
110,112.279999,109.489998,112.120003
110.190002,110.190002,108.209999,109.5
111.739998,111.769997,109.410004,110.779999
110.629997,111.739998,109.769997,111.309998
109.879997,111.370003,109.07,110.779999
108.010002,111.010002,107.550003,110.379997
109.07,109.620003,107.309998,109.580002
110.169998,111.540001,108.730003,110.300003
112.830002,113.510002,107.860001,109.059998
113.849998,114.57,112.440002,112.440002
116.440002,116.690002,114.019997,114.709999
113.25,115.5,112.370003,115
113.629997,114.720001,113.300003,114.32
113.379997,114.18,112.519997,113.400002
113.669998,115.370003,113.660004,115.209999
112.209999,114.300003,111.870003,113.449997
115.660004,116.489998,113.720001,113.919998
116.25,116.540001,115.440002,116.410004
115.93,116.529999,114.419998,116.279999
116.580002,116.889999,114.860001,115.309998
