Open,High,Low,Close
21.87,21.919999,21.250001,21.49
22.67,22.850001,21.65,21.779999
22.289999,22.99,22.23,22.54
22.46,22.710001,22,22.54
23.48,23.5,22.139999,22.780001
22.359999,24.029999,22.17,23.76
21.049999,22.560001,20.72,22.4
21.06,21.28,20.599999,21.049999
20.47,21.44,20.25,21.3
20.599999,20.7,20.19,20.42
20.85,21.21,20.41,20.529999
21.2,21.52,20.5,21
19.940001,21.549999,19.879999,21.37
19.710001,19.949999,19.570001,19.84
19.61,19.799999,19.26,19.68
19.82,20.2,19.500001,19.53
18.999999,20.05,18.96,20
19.27,19.289999,18.400001,18.97
19.45,19.9,19.23,19.45
19.589999,19.9,19.149999,19.61
19.079999,19.39,18.709999,19.369999
18.66,19.17,17.960001,18.75
18.6,19.25,18.550001,18.709999
19.63,19.89,18.569999,18.709999
19.46,20.13,19.33,19.589999
18.96,19.62,18.53,19.570001
18.840001,19.25,18.61,19.069999
18.52,18.859999,18.16,18.569999
17.65,18.779999,17.249999,18.59
17.73,18.400001,17.44,17.56
17.380001,18,17.06,17.600001
18.569999,18.67,17.600001,17.63
18.859999,19.25,18.620001,18.67
18.44,19.25,18.16,19.19
18.059999,19.09,17.750001,18.95
19.12,19.420001,17.87,18.14
18.21,19.069999,18.09,19.02
17.94,18.400001,17.88,18.3
17.29,18.23,17.29,18
18.339999,18.410001,16.959999,16.99
18.09,18.199999,17.77,18.01
17.95,18.38,17.95,17.99
17.310001,18.08,16.86,18.01
16.92,17.74,16.85,17.74
16.1,16.85,15.95,16.819999
16.05,16.2,15.630001,16.000001
15.569999,16.35,15.499999,16.2
15.4,16.150001,14.989999,16.140001
15.349999,16.25,14.989999,15.88
14.95,15.359999,14.830001,14.980001
15.429999,15.83,14.88,15.050001
15.490001,15.99,15.23,15.54
15.710001,15.91,15.39,15.51
15.25,15.75,15.200001,15.51
15.81,15.89,14.93,15.15
16.140001,16.220001,15.349999,15.54
16.11,16.84,15.95,16.449999
14.8,16.25,14.680001,15.73
16.290001,16.950001,15.499999,15.68
16.5,17.099999,15.6,17.020001
16.9,17.72,16.17,16.28
16.000001,17.07,15.73,16.99
17,17.5,16.92,17.37
17.5,18.1,17.2,17.28
18.400001,18.929999,17.65,17.72
18.24,18.95,18.119999,18.550001
18.5,19.079999,18.180001,18.25
17.73,18.6,17.65,18.550001
17.74,18.180001,17.28,17.829999
18.44,18.83,17.829999,17.829999
18.9,19.140001,18.400001,18.400001
18.6,19.299999,18.16,18.920001
18,18.620001,17.65,18.569999
18.199999,18.339999,17.58,17.81
17.94,18.25,17.609999,18.21
18.14,18.14,17.7,17.92
